Name	Reactants	SMARTS	Products	Comments
1.1.3_03	Any;cpd00007	[#1;D1R0:2][#8;H1D2R0:1][#6:3]([#1;D1R0:4])[#6:5]([#8;H1D2R0:7])=[#8;H0D1R0:6].[#8;H0D1R0:8]=[#8;H0D1R0:9]>>[*:2]-[*:8]-[*:9]-[*:4].[*:7]-[*:5](=[*:6])-[*:3]=[*:1]	cpd00025;Any	
1.1.99_01	Any;Any	[#1;D1R0:7][#8;H1D2R0:6][#6:3]([#1;D1R0:8])([#6:4])[#6:2]([#8;H1D2R0:1])=[#8;H0D1R0:5].[#6:12][#6:11](=[#8;H0D1R0:14])[#6:10]([#8;H1D2R0:9])=[#8;H0D1R0:13]>>[*:1]-[*:2](=[*:5])-[*:3](-[*:4])=[*:6].[*:7]-[*:14]-[*:11](-[*:8])(-[*:12])-[*:10](-[*:9])=[*:13]	Any;Any	
1.1.99_02	Any;cpd00003	[#1;D1R0:7][#8;H1D2R0:6][#6R0:3]([#1;D1R0:10])([#8;H0D2:2][#6:1])[#6:4]([#1;D1R0:9])([#6:5])[#8;H1D2R0:8].[#6;H1D3:14]=[#6;H0D3:13][#6;H1D3:12]=[#7+;H0D3:11]>>[H+:10].[*:7]-[*:14]-[*:13]=[*:12]-[N+0:11].[*:1]-[*:2]-[*:3](=[*:6])-[*:4](-[*:5])(-[*:8])-[*:9]	Any;cpd00004;cpd00067	
1.13.11_01	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#1;D1R0:12][#8;H1D2R0:11][#6;H0D3:7]1=[#6;H0D3,#6H1D3,#7H0D2:8][#6;D3;H0,H1:9]([R0;#8H1D2,#1D1:10])=[#6;H0D3:3]([#8;H1D2R0:4])[#6;H0D3,#6H1D3,#7H0D2:5]=[#6;H0D3,#6H1D3,#7H0D2:6]1>>[*:12]-[*:8](-[*:9](-[*:10])=[*:2])-[*:7](=[*:11])-[*:6]=[*:5]-[*:3](-[*:4])=[*:1]	Any	
1.13.11_02	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[R0;#8H1D2,#1D1:4][#6;D3;H0,H1:3]=;@[#6;H0D3,#6H1D3,#7H0D2:5]>>([*:2]=[*:5].[*:4]-[*:3]=[*:1])	Any	
1.13.11_03	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[R0;#8H1D2,#1D1:4][#6;D3;H0,H1:3]=;!@[#6;H0D3,#6H1D3,#7H0D2:5]>>[*:2]=[*:5].[*:4]-[*:3]=[*:1]	Any;Any	
1.13.11_04	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#1;D1R0:7][#8;H1D2R0:6][#6;H0D3:5]1=[#6;H0D3:3]([#8;H1D2R0:4])[#6;H0D3:11]=[#6;D3;H0,H1,H0:10][#6;H0D3,#6H1D3,#7H0D2:9]=[#6;H0D3,#6H1D3,#7H0D2:8]1>>[*:7]-[*:2]-[*:11]=[*:10]-[*:9]=[*:8]-[*:5](=[*:6])-[*:3](-[*:4])=[*:1]	Any	
1.13.11_05	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#1;D1R0:7][#8;H1D2R0:6][#6;H0D3:5]1=[#6;H0D3,#6H1D3,#7H0D2:8]-[#6;H0D3,#6H1D3,#7H0D2:9]=[#6;D3;H0,H1:10][#6;H0D3:11]=[#6;H0D3:3]1[#8;H1D2R0:4]>>[*:7]-[*:2]-[*:11]=[*:10]-[*:9]=[*:8]-[*:5](=[*:6])-[*:3](-[*:4])=[*:1]	Any	
1.13.11_06	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#1;D1R0:10][#8;H1D2R0:9][#6;H0D3:3]1=[#6;D3;H0,H1:8][#6;D3;H0,H1:7]=[#6;D3;H0,H1:6][#6;D3;H0,H1:5]=[#6;H0D3:4]1[#8;H1D2R0:11]>>[*:10]-[*:2]-[*:3](=[*:1])-[*:4]-1(-[*:11])-[*:9]-[*:8]=[*:7]-[*:6]=[*:5]-1	Any	
1.13.11_07	Any;cpd00007	[#1;D1R0:6][#8;H1D2R0:5][#6;H0D3:1]([#6;D3;H0,H1:4])=[#6;H0D3:2]([#6;D3;H0,H1:3])[#8;H1D2R0:7].[#8;H0D1R0:8]=[#8;H0D1R0:9]>>[*:6]-[*:9]-[*:1](=[*:8])-[*:2](-[*:3])(-[*:7])-[*:5]-[*:4]	Any	
1.13.11_08	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#8;H1D2R0:4][#6;H0D3:3]1=[#6;D3;H0,H1:5][#6;H0D3,#6H1D3,#7H0D2:6]=[#6;H0D3,#6H1D3,#7H0D2:7][#6;H0D3:8][#6;H0D3:9]1>>[*:4]-[*:3](=[*:1])-[*:9]-[*:8]-[*:7]=[*:6]-[*:5]=[*:2]	Any	
1.13.11_09	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#8;H1D2R0:4][#6;H0D3:3]1=[#6;H0D3,#6H1D3,#7H0D2:5]-[#6;H0D3,#6H1D3,#7H0D2:6]=[#6;H0D3,#6H1D3,#7H0D2:7]-[#6;H0D3,#6H1D3,#7H0D2:8]=[#6;H0D3,#6H1D3,#7H0D2:9]1>>[*:4]-[*:3](=[*:1])-[*:9]=[*:8]-[*:7]=[*:6]-[*:5]=[*:2]	Any	
1.13.11_10	cpd00007;Any	[#8;H0D1R0:1]=[#8;H0D1R0:2].[#8;H1D2R0:4][#6;H0D3:3]1=[#6;H0D3,#6H1D3,#7H0D2:5]-[#6;H0D3,#6H1D3,#7H0D2:6]=[#6;H0D3,#6H1D3,#7H0D2:7]-[#6;H0D3,#6H1D3,#7H0D2:8]=[#6;H0D3,#6H1D3,#7H0D2:9]1>>[*:4]-[*:3](=[*:1])-[*:5]=[*:6]-[*:7]=[*:8]-[*:9]=[*:2]	Any	
1.13.12_01	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:14][#6:11]([#6,#1D1AR0:12])([#6,#1D1AR0:13])-;@[#7!r4;!r3:10]([#6:9])[#6:15]>>[*:1]-[*:8]-[*:6].([*:9]-[*:10](-[#1:14])-[*:15].[*:12]-[*:11](-[*:13])=[*:7]).[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;cpd00003
1.13.12_02	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:14][#6!r3:11]([#6,#1D1AR0:12])([#6,#1D1AR0:13])-;!@[#7!r3:10]([#6:9])[#6:15]>>[*:1]-[*:8]-[*:6].[*:9]-[*:10](-[#1:14])-[*:15].[*:12]-[*:11](-[*:13])=[*:7].[#7+:2]=[*:3]-[*:4]=[*:5]	cpd00001;Any;Any;cpd00003	Changed by Andrew Stine on 8/14/2012, atom 9 changed from being able to be a carbon or a nitrogen to having to be a nitrogen. This was to better reflect real reactions.
1.14.11_01	Any;cpd00024;cpd00007	[#1;D1R0:4][#6;H2D4R0:3][#8;H0D2R0:2][#6;a;H0D3R1:1].[#1;D1R0:15][#8;H1D2R0:14][#6;H0D3R0:12](=[#8;H0D1R0:13])[#6;H0D3R0:10](=[#8;H0D1R0:11])[#6;H2D4R0:9][#6;H2D4R0:8][#6;H0D3R0:6]([#8;H1D2R0:5])=[#8;H0D1R0:7].[#8;H0D1R0:16]=[#8;H0D1R0:17]>>[*:2]=[*:3].[*:1]-[*:17]-[*:4].[*:13]=[*:12]=[*:14].[*:15]-[*:16]-[*:10](=[*:11])-[*:9]-[*:8]-[*:6](-[*:5])=[*:7]	cpd00011;Any;Any;Any	Covers 1.14.11.32, - and others
1.14.12_01	cpd00067;cpd00004;cpd00007;Any	[#1;R0:1].[#1;D1R0:6][#6;H2D4:5][#6;H0D3:4]=[#6;H1D3:3][#7;H0D3:2].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:15][#6;H1D3:10]([#6;D3;H1,H0:11])=[#6;H0D3:9]([#6;D3;H1,H0:12])[H0R0;#16;D4,#7D3:13]=[#8;H0D1R0:14]>>[*:13]-[*:14]-[*:15].[#7+:2]=[*:3]-[*:4]=[*:5].[*:1]-[*:7]-[*:9](-[*:12])=[*:10](-[*:11])-[*:8]-[*:6]	Any;cpd00003;Any
1.14.12_02	cpd00004;cpd00067;cpd00007;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:16][#6;H1D3:10]1=[#6;D3;H0,H1:11][#6;D3;H0,H1:12]=[#6;D3;H0,H1:13][#6;D3;H0,H1:14]=[#6;H0D3:9]1[R0;#7;H2D3,ClH0D1:15]>>[*:15]-[*:16].[#7+:1]=[*:2]-[*:3]=[*:4].[*:5]-[*:8]-[*:10]-1=[*:11]-[*:12]=[*:13]-[*:14]=[*:9]-1-[*:7]-[*:6]	Any;cpd00003;Any
1.14.12_03	cpd00004;cpd00067;cpd00007;Any	[#1;D1R0:5][#6;H2D4:4][#6;H0D3:3]=[#6;H1D3:2][#7;H0D3:1].[#1;R0:6].[#8;H0D1R0:7]=[#8;H0D1R0:8].[#1;D1R0:16][#6;H1D3:10]1=[#6;H0D3:9]([R0;#7;H2D3,ClH0D1:15])[#6;D3;H0,H1:14]=[#6;D3;H0,H1:13][#6;D3;H0,H1:12]=[#6;D3;H0,H1:11]1>>[*:15]-[*:16].[#7+:1]=[*:2]-[*:3]=[*:4].[*:5]-[*:8]-[*:10]-1=[*:9](-[*:7]-[*:6])-[*:14]=[*:13]-[*:12]=[*:11]-1	Any;cpd00003;Any
