Reactions	Rules
1.14.16.3-RXN	rule0692
1.14.16.3-RXN_reverse	rule0693
1.14.20.1-RXN	rule1006
1.14.20.1-RXN_reverse	rule1007
1.14.21.2-RXN	rule0149
1.14.21.2-RXN_reverse	rule0144
1.14.99.34-RXN	rule0068
1.14.99.34-RXN_reverse	rule0077
1.17.1.1-RXN	rule0026
1.17.1.1-RXN_reverse	rule0025
1.2.1.13-RXN	rule0267
1.2.1.13-RXN_reverse	rule0268
1.2.1.25-RXN	rule0269
1.2.1.25-RXN_reverse	rule0270
1.2.1.27-RXN	rule0694
1.2.1.27-RXN_reverse	rule0695
1.2.1.31-RXN	rule0026
1.2.1.31-RXN_reverse	rule0025
1.2.1.32-RXN	rule0026
1.2.1.32-RXN_reverse	rule0025
1.2.1.42-RXN	rule0142
1.2.1.42-RXN_reverse	rule0143
1.2.1.45-RXN	rule1008
1.2.1.45-RXN_reverse	rule0002
1.2.1.47-RXN	rule0025
1.2.1.47-RXN_reverse	rule0026
1.2.1.53-RXN	rule0026
1.2.1.53-RXN_reverse	rule0025
1.2.1.54-RXN	rule0026
1.2.1.54-RXN_reverse	rule0025
1.2.1.55-RXN	rule0003
1.2.1.55-RXN_reverse	rule0002
1.2.1.56-RXN	rule0003
1.2.1.56-RXN_reverse	rule0002
1.2.1.58-RXN	rule0269
1.2.1.58-RXN_reverse	rule0270
1.2.1.65-RXN	rule0026
1.2.1.65-RXN_reverse	rule0025
1.2.1.66-RXN	rule0003
1.2.1.66-RXN_reverse	rule0002
1.2.1.67-RXN	rule0026
1.2.1.67-RXN_reverse	rule0025
1.2.1.9-RXN	rule0026
1.2.1.9-RXN_reverse	rule0025
1.2.3.14-RXN	rule0145
1.2.3.14-RXN_reverse	rule0147
1.2.4.4-RXN	rule0328
1.2.4.4-RXN_reverse	rule0329
1.2.99.7-RXN	rule0696
1.2.99.7-RXN_reverse	rule0697
1.3.1.18-RXN	rule0102
1.3.1.18-RXN_reverse	rule0018
1.3.1.19-RXN	rule0102
1.3.1.19-RXN_reverse	rule0018
1.3.1.2-RXN	rule0193
1.3.1.2-RXN_reverse	rule0018
1.3.1.20-RXN	rule0102
1.3.1.20-RXN_reverse	rule0018
1.3.1.25-RXN	rule0330
